attack_label,attack_class,train_count,test_count,train_present,test_present
apache2,DoS,0,737,False,True
back,DoS,956,359,True,True
land,DoS,18,7,True,True
mailbomb,DoS,0,293,False,True
neptune,DoS,41214,4657,True,True
pod,DoS,201,41,True,True
processtable,DoS,0,685,False,True
smurf,DoS,2646,665,True,True
teardrop,DoS,892,12,True,True
udpstorm,DoS,0,2,False,True
worm,DoS,0,2,False,True
ipsweep,Probe,3599,141,True,True
mscan,Probe,0,996,False,True
nmap,Probe,1493,73,True,True
portsweep,Probe,2931,157,True,True
saint,Probe,0,319,False,True
satan,Probe,3633,735,True,True
ftp_write,R2L,8,3,True,True
guess_passwd,R2L,53,1231,True,True
httptunnel,R2L,0,133,False,True
imap,R2L,11,1,True,True
multihop,R2L,7,18,True,True
named,R2L,0,17,False,True
phf,R2L,4,2,True,True
ps,R2L,0,15,False,True
sendmail,R2L,0,14,False,True
snmpgetattack,R2L,0,178,False,True
snmpguess,R2L,0,331,False,True
spy,R2L,2,0,True,False
sqlattack,R2L,0,2,False,True
warezclient,R2L,890,0,True,False
warezmaster,R2L,20,944,True,True
xlock,R2L,0,9,False,True
xsnoop,R2L,0,4,False,True
buffer_overflow,U2R,30,20,True,True
loadmodule,U2R,9,2,True,True
perl,U2R,3,2,True,True
rootkit,U2R,10,13,True,True
xterm,U2R,0,13,False,True
normal,normal,67343,9711,True,True
