attack_class,subtype,train_count,test_count,train_percentage,test_percentage
R2L,ftp_write,8,3,0.8040201005025126,0.10337698139214334
R2L,guess_passwd,53,1231,5.326633165829145,42.41902136457615
R2L,httptunnel,0,133,0.0,4.583046175051689
R2L,imap,11,1,1.105527638190955,0.03445899379738111
R2L,multihop,7,18,0.7035175879396985,0.6202618883528601
R2L,named,0,17,0.0,0.5858028945554791
R2L,phf,4,2,0.4020100502512563,0.06891798759476223
R2L,ps,0,15,0.0,0.5168849069607168
R2L,sendmail,0,14,0.0,0.4824259131633356
R2L,snmpgetattack,0,178,0.0,6.133700895933838
R2L,snmpguess,0,331,0.0,11.40592694693315
R2L,spy,2,0,0.20100502512562815,0.0
R2L,sqlattack,0,2,0.0,0.06891798759476223
R2L,warezclient,890,0,89.44723618090453,0.0
R2L,warezmaster,20,944,2.0100502512562812,32.529290144727774
R2L,xlock,0,9,0.0,0.31013094417643006
R2L,xsnoop,0,4,0.0,0.13783597518952445
