class,feature,category,train_count,test_count,train_proportion,test_proportion,percentage_point_shift,shift_type
R2L,protocol_type,icmp,0,4,0.0,0.0013783597518952446,0.13783597518952445,TEST_ONLY
R2L,protocol_type,tcp,995,2384,1.0,0.8215024121295658,-17.849758787043424,MAJOR_SHIFT
R2L,protocol_type,udp,0,514,0.0,0.17711922811853895,17.711922811853896,TEST_ONLY
R2L,service,IRC,0,1,0.0,0.00034458993797381116,0.03445899379738111,TEST_ONLY
R2L,service,X11,0,10,0.0,0.0034458993797381117,0.34458993797381116,TEST_ONLY
R2L,service,auth,0,4,0.0,0.0013783597518952446,0.13783597518952445,TEST_ONLY
R2L,service,domain,0,6,0.0,0.002067539627842867,0.20675396278428668,TEST_ONLY
R2L,service,ftp,312,606,0.3135678391959799,0.20882150241212957,-10.474633678385034,MAJOR_SHIFT
R2L,service,ftp_data,604,458,0.607035175879397,0.1578221915920055,-44.921298428739156,MAJOR_SHIFT
R2L,service,http,4,2,0.004020100502512563,0.0006891798759476223,-0.3330920626564941,STABLE_OR_SMALL_SHIFT
R2L,service,imap4,11,1,0.011055276381909548,0.00034458993797381116,-1.0710686443935737,STABLE_OR_SMALL_SHIFT
R2L,service,login,2,1,0.0020100502512562816,0.00034458993797381116,-0.16654603132824705,STABLE_OR_SMALL_SHIFT
R2L,service,other,5,148,0.005025125628140704,0.05099931082012405,4.597418519198334,STABLE_OR_SMALL_SHIFT
R2L,service,pop_3,0,750,0.0,0.2584424534803584,25.844245348035837,TEST_ONLY
R2L,service,private,0,498,0.0,0.17160578911095797,17.160578911095797,TEST_ONLY
R2L,service,smtp,0,6,0.0,0.002067539627842867,0.20675396278428668,TEST_ONLY
R2L,service,telnet,57,407,0.05728643216080402,0.14024810475534114,8.29616725945371,STABLE_OR_SMALL_SHIFT
R2L,service,urp_i,0,4,0.0,0.0013783597518952446,0.13783597518952445,TEST_ONLY
R2L,flag,REJ,0,112,0.0,0.03859407305306685,3.859407305306685,TEST_ONLY
R2L,flag,RSTO,46,28,0.04623115577889447,0.009648518263266712,-3.6582637515627763,STABLE_OR_SMALL_SHIFT
R2L,flag,RSTR,5,4,0.005025125628140704,0.0013783597518952446,-0.36467658762454586,STABLE_OR_SMALL_SHIFT
R2L,flag,S1,1,5,0.0010050251256281408,0.0017229496898690559,0.0717924564240915,STABLE_OR_SMALL_SHIFT
R2L,flag,S2,1,0,0.0010050251256281408,0.0,-0.10050251256281408,TRAIN_ONLY
R2L,flag,S3,3,4,0.003015075376884422,0.0013783597518952446,-0.16367156249891773,STABLE_OR_SMALL_SHIFT
R2L,flag,SF,935,2749,0.9396984924623115,0.9472777394900069,0.7579247027695413,STABLE_OR_SMALL_SHIFT
R2L,flag,SH,4,0,0.004020100502512563,0.0,-0.4020100502512563,TRAIN_ONLY
U2R,protocol_type,tcp,49,50,0.9423076923076923,1.0,5.769230769230771,STABLE_OR_SMALL_SHIFT
U2R,protocol_type,udp,3,0,0.057692307692307696,0.0,-5.769230769230769,TRAIN_ONLY
U2R,service,ftp,3,8,0.057692307692307696,0.16,10.23076923076923,MAJOR_SHIFT
U2R,service,ftp_data,12,11,0.23076923076923078,0.22,-1.076923076923078,STABLE_OR_SMALL_SHIFT
U2R,service,other,3,0,0.057692307692307696,0.0,-5.769230769230769,TRAIN_ONLY
U2R,service,telnet,34,31,0.6538461538461539,0.62,-3.384615384615386,STABLE_OR_SMALL_SHIFT
U2R,flag,RSTO,1,0,0.019230769230769232,0.0,-1.9230769230769231,TRAIN_ONLY
U2R,flag,SF,51,50,0.9807692307692307,1.0,1.9230769230769273,STABLE_OR_SMALL_SHIFT
