class,feature,train_mean,test_mean,mean_difference,train_median,test_median,median_difference,train_std,test_std,train_min,test_min,train_max,test_max,policy_decision
R2L,num_outbound_cmds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DROP
R2L,num_compromised,0.07738693467336684,0.016540317022742935,-0.06084661765062391,0.0,0.0,0.0,1.480606082745756,0.3952519234614405,0.0,0.0,38.0,14.0,DROP
R2L,srv_serror_rate,0.011045226130653266,0.0027567195037904893,-0.008288506626862776,0.0,0.0,0.0,0.0913189347941364,0.05077118559224803,0.0,0.0,1.0,1.0,DROP
R2L,dst_host_serror_rate,0.02384924623115578,0.01355961405926947,-0.010289632171886309,0.0,0.0,0.0,0.09259916315516514,0.08166428361147761,0.0,0.0,1.0,0.98,DROP
R2L,dst_host_srv_serror_rate,0.015959798994974874,0.002377670572019297,-0.013582128422955577,0.0,0.0,0.0,0.08483122308691732,0.031592207711576135,0.0,0.0,1.0,1.0,DROP
R2L,srv_rerror_rate,0.05204020100502513,0.050251550654720874,-0.0017886503503042536,0.0,0.0,0.0,0.21989882068806055,0.21733771645721545,0.0,0.0,1.0,1.0,DROP
R2L,dst_host_rerror_rate,0.05111557788944723,0.05655065472088216,0.005435076831434925,0.0,0.0,0.0,0.2023564938721167,0.16388780102550715,0.0,0.0,0.96,1.0,DROP
R2L,dst_host_srv_rerror_rate,0.04736683417085427,0.04883528600964853,0.0014684518387942588,0.0,0.0,0.0,0.20238890463124368,0.1874034401639556,0.0,0.0,0.96,1.0,DROP
R2L,dst_host_srv_count,42.44020100502512,121.44417643004824,79.00397542502313,35.0,97.0,62.0,35.37700363622481,101.69916036910021,1.0,1.0,255.0,255.0,DROP
U2R,num_outbound_cmds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DROP
U2R,num_compromised,1.2115384615384615,10.04,8.828461538461537,0.0,1.0,1.0,1.6725762500457773,26.160384444532045,0.0,0.0,6.0,165.0,DROP
U2R,srv_serror_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DROP
U2R,dst_host_serror_rate,0.0,0.07780000000000001,0.07780000000000001,0.0,0.0,0.0,0.0,0.20291035519385886,0.0,0.0,0.0,1.0,DROP
U2R,dst_host_srv_serror_rate,0.004807692307692308,0.05460000000000001,0.049792307692307705,0.0,0.0,0.0,0.03466876226407682,0.21446858863293733,0.0,0.0,0.25,0.99,DROP
U2R,srv_rerror_rate,0.019230769230769232,0.0,-0.019230769230769232,0.0,0.0,0.0,0.1386750490563073,0.0,0.0,0.0,1.0,0.0,DROP
U2R,dst_host_rerror_rate,0.039615384615384615,0.09960000000000001,0.05998461538461539,0.0,0.0,0.0,0.14089297201278095,0.2486367730203221,0.0,0.0,0.73,0.98,DROP
U2R,dst_host_srv_rerror_rate,0.01903846153846154,0.0794,0.06036153846153846,0.0,0.0,0.0,0.052140820461237865,0.20694483145347245,0.0,0.0,0.25,0.98,DROP
U2R,dst_host_srv_count,9.884615384615385,26.68,16.795384615384613,2.5,7.0,4.5,21.93363774103723,39.68623881171417,1.0,1.0,84.0,164.0,DROP
