class,service,train_count,test_count,train_proportion,test_proportion,percentage_point_shift,train_present,test_present
R2L,IRC,0,1,0.0,0.00034458993797381116,0.03445899379738111,False,True
R2L,X11,0,10,0.0,0.0034458993797381117,0.34458993797381116,False,True
R2L,auth,0,4,0.0,0.0013783597518952446,0.13783597518952445,False,True
R2L,domain,0,6,0.0,0.002067539627842867,0.20675396278428668,False,True
R2L,ftp,312,606,0.3135678391959799,0.20882150241212957,-10.474633678385034,True,True
R2L,ftp_data,604,458,0.607035175879397,0.1578221915920055,-44.921298428739156,True,True
R2L,http,4,2,0.004020100502512563,0.0006891798759476223,-0.3330920626564941,True,True
R2L,imap4,11,1,0.011055276381909548,0.00034458993797381116,-1.0710686443935737,True,True
R2L,login,2,1,0.0020100502512562816,0.00034458993797381116,-0.16654603132824705,True,True
R2L,other,5,148,0.005025125628140704,0.05099931082012405,4.597418519198334,True,True
R2L,pop_3,0,750,0.0,0.2584424534803584,25.844245348035837,False,True
R2L,private,0,498,0.0,0.17160578911095797,17.160578911095797,False,True
R2L,smtp,0,6,0.0,0.002067539627842867,0.20675396278428668,False,True
R2L,telnet,57,407,0.05728643216080402,0.14024810475534114,8.29616725945371,True,True
R2L,urp_i,0,4,0.0,0.0013783597518952446,0.13783597518952445,False,True
U2R,ftp,3,8,0.057692307692307696,0.16,10.23076923076923,True,True
U2R,ftp_data,12,11,0.23076923076923078,0.22,-1.076923076923078,True,True
U2R,other,3,0,0.057692307692307696,0.0,-5.769230769230769,True,False
U2R,telnet,34,31,0.6538461538461539,0.62,-3.384615384615386,True,True
