class,rank,feature,mean_abs_shap
normal,1,src_bytes,2.013183832168579
normal,2,service,1.817842721939087
normal,3,dst_host_same_srv_rate,0.4116860330104828
normal,4,count,0.38511934876441956
normal,5,dst_bytes,0.3359019160270691
normal,6,dst_host_same_src_port_rate,0.29301685094833374
normal,7,hot,0.267367959022522
normal,8,dst_host_diff_srv_rate,0.17918790876865387
normal,9,srv_count,0.17843738198280334
normal,10,dst_host_count,0.15130071341991425
DoS,1,count,2.0807437896728516
DoS,2,flag_S0,1.3741817474365234
DoS,3,dst_bytes,0.9345183372497559
DoS,4,src_bytes,0.38247978687286377
DoS,5,serror_rate,0.37842488288879395
DoS,6,srv_count,0.31401327252388
DoS,7,diff_srv_rate,0.2689071297645569
DoS,8,logged_in,0.2474246323108673
DoS,9,protocol_type_icmp,0.24370695650577545
DoS,10,dst_host_diff_srv_rate,0.22450844943523407
Probe,1,src_bytes,1.7746398448944092
Probe,2,dst_host_diff_srv_rate,1.0263214111328125
Probe,3,flag_S0,0.8763362169265747
Probe,4,dst_bytes,0.5382897257804871
Probe,5,dst_host_same_srv_rate,0.4858194887638092
Probe,6,dst_host_same_src_port_rate,0.4305241107940674
Probe,7,protocol_type_icmp,0.3666665256023407
Probe,8,logged_in,0.3565031588077545
Probe,9,protocol_type_tcp,0.3521980345249176
Probe,10,service,0.3345494270324707
R2L,1,count,1.4100366830825806
R2L,2,src_bytes,1.4094501733779907
R2L,3,service,1.1655466556549072
R2L,4,logged_in,0.34602364897727966
R2L,5,dst_host_same_src_port_rate,0.27742788195610046
R2L,6,dst_host_same_srv_rate,0.26047593355178833
R2L,7,hot,0.22533056139945984
R2L,8,protocol_type_tcp,0.22206608951091766
R2L,9,duration,0.21106000244617462
R2L,10,dst_bytes,0.20658735930919647
U2R,1,service,1.7696833610534668
U2R,2,dst_bytes,1.7114773988723755
U2R,3,dst_host_count,0.8725301027297974
U2R,4,duration,0.6956666707992554
U2R,5,protocol_type_udp,0.46263399720191956
U2R,6,src_bytes,0.41309234499931335
U2R,7,dst_host_same_srv_rate,0.35004132986068726
U2R,8,dst_host_diff_srv_rate,0.2540009617805481
U2R,9,num_file_creations,0.22749634087085724
U2R,10,dst_host_srv_diff_host_rate,0.16572950780391693
