"feature","feature_type","decision","rationale"
"duration","numeric","RE-ENCODE","Heavy-tailed raw distribution; use log1p."
"protocol_type","categorical","KEEP","Cramér's V = 0.3186272; 3 categories; one-hot."
"service","categorical","RE-ENCODE","Cramér's V = 0.5578667; 70 training categories; frequency encode initially."
"flag","categorical","KEEP","Cramér's V = 0.4898992; 11 categories; one-hot."
"src_bytes","numeric","RE-ENCODE","Extremely heavy-tailed raw distribution; use log1p."
"dst_bytes","numeric","RE-ENCODE","Extremely heavy-tailed raw distribution; use log1p."
"land","numeric","KEEP","Significant class differences; retain."
"wrong_fragment","numeric","KEEP","Significant class differences; retain."
"urgent","numeric","KEEP","Significant class differences; retain rare signal."
"hot","numeric","KEEP","Significant and variable; retain."
"num_failed_logins","numeric","KEEP","Significant class differences; retain."
"logged_in","numeric","KEEP","Significant class differences; retain."
"num_compromised","numeric","DROP","Redundant with num_root; r = 0.9988335."
"root_shell","numeric","KEEP","Significant class differences; retain."
"su_attempted","numeric","KEEP","Significant class differences; retain."
"num_root","numeric","KEEP","Representative of num_compromised/num_root pair."
"num_file_creations","numeric","KEEP","Significant class differences; retain."
"num_shells","numeric","KEEP","Significant class differences; retain."
"num_access_files","numeric","KEEP","Significant class differences; retain."
"num_outbound_cmds","numeric","DROP","Zero variance; drop."
"is_host_login","numeric","KEEP","BH-adjusted p approximately 0.9287; retain for model-based validation."
"is_guest_login","numeric","KEEP","r = 0.8602881 with hot, but distinct semantics; retain."
"count","numeric","KEEP","Strong class-dependent distribution; retain."
"srv_count","numeric","KEEP","Strong class-dependent distribution; retain."
"serror_rate","numeric","KEEP","Representative of serror-rate family."
"srv_serror_rate","numeric","DROP","Redundant serror-rate family; r = 0.9932892 with serror_rate."
"rerror_rate","numeric","KEEP","Representative of rerror-rate family."
"srv_rerror_rate","numeric","DROP","Redundant rerror-rate family; r = 0.9890077 with rerror_rate."
"same_srv_rate","numeric","KEEP","Strong class-dependent distribution; retain."
"diff_srv_rate","numeric","KEEP","Significant class differences; retain."
"srv_diff_host_rate","numeric","KEEP","Significant class differences; retain."
"dst_host_count","numeric","KEEP","Significant class differences; retain."
"dst_host_srv_count","numeric","DROP","Redundant with dst_host_same_srv_rate; r = 0.8966635."
"dst_host_same_srv_rate","numeric","KEEP","Representative of dst_host service-count/rate pair."
"dst_host_diff_srv_rate","numeric","KEEP","Significant class differences; retain."
"dst_host_same_src_port_rate","numeric","KEEP","Significant class differences; retain."
"dst_host_srv_diff_host_rate","numeric","KEEP","Significant class differences; retain."
"dst_host_serror_rate","numeric","DROP","Redundant serror-rate family."
"dst_host_srv_serror_rate","numeric","DROP","Redundant serror-rate family."
"dst_host_rerror_rate","numeric","DROP","Redundant rerror-rate family."
"dst_host_srv_rerror_rate","numeric","DROP","Redundant rerror-rate family."
